family_id,family_label,family_display_label,route_group,route_label,evaluator_model,requested_n_components,actual_n_components,original_reasoning_feature_count,latent_feature_count,outer_split_id,repeat_index,fold_index,precision,recall,pr_auc,f0_5,threshold
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_01_fold_01,1,1,0.225,0.20454545454545456,0.1728398426927734,0.22058823529411764,0.18000000000000005
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_01_fold_01,1,1,0.25,0.14393939393939395,0.18770920225599613,0.21788990825688073,0.7200000000000002
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_01_fold_02,1,2,0.2571428571428571,0.20454545454545456,0.16969644952860535,0.24456521739130435,0.23000000000000004
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_01_fold_02,1,2,0.22535211267605634,0.24242424242424243,0.17783624774423024,0.22857142857142856,0.6800000000000002
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_01_fold_03,1,3,0.1836734693877551,0.06818181818181818,0.15503518378913772,0.13719512195121952,0.27
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_01_fold_03,1,3,0.20930232558139536,0.06818181818181818,0.15466675842940847,0.14802631578947367,0.7900000000000001
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_02_fold_01,2,1,0.29347826086956524,0.20454545454545456,0.18873435116058512,0.27,0.21000000000000002
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_02_fold_01,2,1,0.31666666666666665,0.14393939393939395,0.18978141068365492,0.2553763440860215,0.7600000000000002
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_02_fold_02,2,2,0.175,0.05303030303030303,0.15421679000113267,0.11986301369863013,0.32000000000000006
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_02_fold_02,2,2,0.1794871794871795,0.05303030303030303,0.1550634356355553,0.12152777777777778,0.8600000000000002
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_02_fold_03,2,3,0.3064516129032258,0.14393939393939395,0.15622766773276062,0.25,0.31000000000000005
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_02_fold_03,2,3,0.16033755274261605,0.2878787878787879,0.1681190044886895,0.17592592592592593,0.5900000000000002
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_03_fold_01,3,1,0.21839080459770116,0.14393939393939395,0.1483702428063503,0.19791666666666666,0.21000000000000002
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_03_fold_01,3,1,0.2222222222222222,0.07575757575757576,0.1550557125069846,0.16025641025641027,0.8200000000000002
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_03_fold_02,3,2,0.18681318681318682,0.25757575757575757,0.1641861568477814,0.19767441860465115,0.16000000000000003
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_03_fold_02,3,2,0.17842323651452283,0.32575757575757575,0.15924567029702213,0.19616788321167883,0.5900000000000002
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_03_fold_03,3,3,0.30303030303030304,0.15151515151515152,0.19171045884650875,0.25252525252525254,0.24000000000000005
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_03_fold_03,3,3,0.22962962962962963,0.23484848484848486,0.19023428032099934,0.23065476190476192,0.6500000000000001
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_04_fold_01,4,1,0.20454545454545456,0.13636363636363635,0.1524930374123935,0.1859504132231405,0.23000000000000004
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_04_fold_01,4,1,0.17543859649122806,0.15151515151515152,0.1541879072493822,0.17006802721088435,0.7100000000000002
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_04_fold_02,4,2,0.24,0.22727272727272727,0.17560776426082808,0.23734177215189872,0.18000000000000005
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_04_fold_02,4,2,0.27956989247311825,0.19696969696969696,0.18220399469798215,0.25793650793650796,0.7000000000000002
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_04_fold_03,4,3,0.2872340425531915,0.20454545454545456,0.1753235717980437,0.265748031496063,0.2
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_04_fold_03,4,3,0.3050847457627119,0.13636363636363635,0.17551888131731447,0.24456521739130435,0.7600000000000002
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_05_fold_01,5,1,0.2653061224489796,0.09848484848484848,0.19464382152919,0.19817073170731708,0.27
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_05_fold_01,5,1,0.24761904761904763,0.19696969696969696,0.17917238252847284,0.23550724637681159,0.6800000000000002
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_05_fold_02,5,2,0.2857142857142857,0.10606060606060606,0.16084907781188504,0.21341463414634146,0.29000000000000004
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_05_fold_02,5,2,0.18518518518518517,0.30303030303030304,0.16954560705232138,0.20080321285140562,0.6100000000000001
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_05_fold_03,5,3,0.19298245614035087,0.16666666666666666,0.16345715697141716,0.1870748299319728,0.21000000000000002
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_05_fold_03,5,3,0.19327731092436976,0.17424242424242425,0.15647907641529993,0.18914473684210525,0.6900000000000002
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_06_fold_01,6,1,0.27906976744186046,0.18181818181818182,0.17896195163438247,0.25210084033613445,0.21000000000000002
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_06_fold_01,6,1,0.20502092050209206,0.3712121212121212,0.19000248229786973,0.22518382352941177,0.5800000000000002
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_06_fold_02,6,2,0.23809523809523808,0.15151515151515152,0.16986567182165585,0.21367521367521367,0.21000000000000002
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_06_fold_02,6,2,0.25862068965517243,0.11363636363636363,0.1745200120877131,0.20604395604395603,0.7600000000000002
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_06_fold_03,6,3,0.18181818181818182,0.15151515151515152,0.1521967929353381,0.17482517482517482,0.19
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_06_fold_03,6,3,0.1870967741935484,0.2196969696969697,0.14926490674339601,0.19281914893617022,0.6400000000000001
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_07_fold_01,7,1,0.23333333333333334,0.21212121212121213,0.16328984710776345,0.22875816993464052,0.17000000000000004
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_07_fold_01,7,1,0.22580645161290322,0.10606060606060606,0.1658178233883879,0.18421052631578946,0.7400000000000002
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_07_fold_02,7,2,0.21052631578947367,0.12121212121212122,0.1487927563349129,0.1834862385321101,0.24000000000000005
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_07_fold_02,7,2,0.20689655172413793,0.09090909090909091,0.1482690801261693,0.16483516483516483,0.7700000000000002
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_07_fold_03,7,3,0.2872340425531915,0.20454545454545456,0.1891586588014245,0.265748031496063,0.22000000000000003
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_07_fold_03,7,3,0.24203821656050956,0.2878787878787879,0.19758224002426483,0.25,0.6600000000000001
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_08_fold_01,8,1,0.24691358024691357,0.15151515151515152,0.17690954624929014,0.21929824561403508,0.21000000000000002
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_08_fold_01,8,1,0.2682926829268293,0.08333333333333333,0.17928099535867476,0.1858108108108108,0.7800000000000001
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_08_fold_02,8,2,0.19672131147540983,0.09090909090909091,0.15781304941501698,0.1595744680851064,0.29000000000000004
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_08_fold_02,8,2,0.2073170731707317,0.12878787878787878,0.16007209447826198,0.18478260869565216,0.7200000000000002
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_08_fold_03,8,3,0.296875,0.14393939393939395,0.17221109312442628,0.24484536082474226,0.29000000000000004
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_08_fold_03,8,3,0.17993079584775087,0.3939393939393939,0.17392965893821616,0.20186335403726707,0.5700000000000002
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_09_fold_01,9,1,0.24489795918367346,0.09090909090909091,0.15239154909085056,0.18292682926829268,0.30000000000000004
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_09_fold_01,9,1,0.23214285714285715,0.09848484848484848,0.1572613234298331,0.18258426966292135,0.7700000000000002
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_09_fold_02,9,2,0.24193548387096775,0.22727272727272727,0.17868943458668543,0.23885350318471338,0.19
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_09_fold_02,9,2,0.2147239263803681,0.26515151515151514,0.18869510987517496,0.22321428571428573,0.6300000000000001
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_09_fold_03,9,3,0.26865671641791045,0.13636363636363635,0.1830211075260395,0.225,0.25000000000000006
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_09_fold_03,9,3,0.24742268041237114,0.18181818181818182,0.1796516634554546,0.23076923076923078,0.7100000000000002
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_10_fold_01,10,1,0.2465753424657534,0.13636363636363635,0.1593747242971067,0.21226415094339623,0.28
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_10_fold_01,10,1,0.22784810126582278,0.13636363636363635,0.15194646793807698,0.20089285714285715,0.7500000000000002
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_10_fold_02,10,2,0.16279069767441862,0.05303030303030303,0.13643356995147005,0.11513157894736842,0.4700000000000001
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_10_fold_02,10,2,0.19696969696969696,0.09848484848484848,0.15251806048939498,0.16414141414141414,0.7100000000000002
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_10_fold_03,10,3,0.40476190476190477,0.12878787878787878,0.20716130281590953,0.2833333333333333,0.39000000000000007
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_10_fold_03,10,3,0.23728813559322035,0.3181818181818182,0.20974313129908417,0.25,0.6400000000000001
HQ,HQ,HQ,hq_benchmark,HQ,logistic,,0,0,0,repeat_11_fold_01,11,1,0.23076923076923078,0.13636363636363635,0.16570793798501213,0.20270270270270271,0.25000000000000006
HQ,HQ,HQ,hq_benchmark,HQ,xgb1,,0,0,0,repeat_11_fold_01,11,1,0.25806451612903225,0.12121212121212122,0.17574406386853864,0.21052631578947367,0.7600000000000002
